place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUNaN3N1NWlBRRAB,Leo Poon,5,"Clean dining environment, fast services, everything was ready in 3 minutes, the staff showed me a big sunshine smile after cally order. Great place to visit if Im craving a solid burger",2 months ago,2023-10-01 01:49:07.562397,,,,0,371,6703,https://www.google.com/maps/contrib/100700810041700501941/reviews?entry=ttu,True,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUR4bGY2STNRRRAB,Johnny Munoz,5,LIKE IF YOU AGREE! Saw this at the alderbridge way mcdonalds location very nice and helpful. Please no 2 road mcdonalds get this so we dont have to touch the door handle after using washroom and after we wash our hands. It is unsanitary and there are no napkins provided to hold the handle. Thank you .,5 months ago,2023-07-01 01:49:07.564394,,,,3,11,8,https://www.google.com/maps/contrib/110503486302803544852/reviews?entry=ttu,False,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUR4dVktcGdnRRAB,Ugur Contu,5,"This is the best McDonalds I have visited. Why? It is very clean and neat. Crew does very good about it. Additionally, in other McDonalds restaurants, we encounter issues like cold drink dispenser malfunction, unstable tables, full trash boxes, etc. So far, we havent seen any of these issues here. They also have a nice sitting area outside. Even though its a bit far from our house, we prefer coming here ehen we crave for a burger :)",5 months ago,2023-07-01 01:49:07.566526,,,,0,213,381,https://www.google.com/maps/contrib/110195556298125987821/reviews?entry=ttu,True,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUM1a2RyaEJnEAE,kate shing,5,Special thanks to Rajvir and his team!! thanks for letting my girl to hold a birthday party in Mcdonald!! They were super helpful and nice!!,a month ago,2023-11-01 01:49:07.568280,,,,0,2,,https://www.google.com/maps/contrib/111258012355637177255/reviews?entry=ttu,False,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUR4LTRxeXBnRRAB,Moto Chan,5,A more upscale Cantonese restaurant. The service was beyond reproach. Food was well prepared and had a few interesting dishes I hadnt tried before. Its definitely worth a visit .,5 months ago,2023-07-01 01:49:07.570313,,,,0,124,37,https://www.google.com/maps/contrib/113680135123553322172/reviews?entry=ttu,True,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUNoaXRIQnRRRRAB,royal navi,5,"Managers are very Friendly, Very helpful, polite and good listener.  They work really hard beyond their limits . I always come in here and enjoy my meal with my family members and friends. Love this place they do have meeting room nice seating area comfortable chairs . Even have patio that we can sit and enjoy .Kids love this place always have balloons and drawings  that we can make kids busy .",9 months ago,2023-03-01 01:49:07.572333,,,,0,10,1,https://www.google.com/maps/contrib/115387155696912711406/reviews?entry=ttu,False,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUNweHZPRVh3EAE,simon do,5,"I like the seating area, lots of seats, tables look clean, it feels like an oasis where you can just flop down some food and rest.",3 months ago,2023-09-01 01:49:07.573862,,,,0,23,125,https://www.google.com/maps/contrib/107355525441985175063/reviews?entry=ttu,True,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURKbEt5NXJ3RRAB,Anwar Zaenudin,5,McD all over the World always the same good quality whether in my home country Indonesia or Canada always the best for Breakfast,4 months ago,2023-08-01 01:49:07.575783,,,,0,56,159,https://www.google.com/maps/contrib/100099426740605242838/reviews?entry=ttu,True,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURaa1pla0d3EAE,Jorge Reyes,5,"Very busy ,  trying out pumpkin latte. Pretty good Parking: Not a lot but high turnover Food : 5/5 |",a month ago,2023-11-01 01:49:07.577744,,,,0,51,1,https://www.google.com/maps/contrib/108331597575961734217/reviews?entry=ttu,True,Food,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUNwc09DbU1REAE,Doodle,5,"Busy location, service still pretty quick. Tons and tons of seating space, used to be play area",4 months ago,2023-08-01 01:49:07.579817,,,,0,130,80,https://www.google.com/maps/contrib/104602734542760049818/reviews?entry=ttu,True,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUR4OU1mQ25nRRAB,Mandy Wu,5,Their sundae is the best. The texture of their ice cream is firm and always cold enough.,5 months ago,2023-07-01 01:49:08.087336,,,,0,37,1,https://www.google.com/maps/contrib/100750687435957731370/reviews?entry=ttu,False,,
ChIJb10iG9UKhlQROqz7XwYZLc4,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURXeU9EV1F3EAE,Asiyah Aleem,5,"We had fillet o fish. It was amazing! I had the thick Choc smoothie to go with it. I loved the milkshake, so creamy, thick and delicious! Had large fries with it. They have a drive thru as well. Was pretty busy, lots of movement, and service was good. They have lots of parking as well.",a year ago,2022-12-01 01:49:08.088980,,,,0,125,505,https://www.google.com/maps/contrib/106453320954935563295/reviews?entry=ttu,True,,
