place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNKcU43RWd3RRAB,Vijay Viswanathan,5,"Open 24 hours. Dependable option for those late night snacks/dinners. The staff is friendly and receptive to your requests. The food is good, and substantial. I dont like the fact that they charge you for zesty sauce (only one is free). Best onion rings. The veggie whopper (I get it without the patty), with added cheese is awesome.",5 months ago,2023-06-30 11:56:37.604708,,,,0,56,135,https://www.google.com/maps/contrib/110359454832180109121/reviews?entry=ttu,True,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNGa3Q3ZGhRRRAB,Peter Butschek,5,"Had the chicken sandwich combo and enjoyed it. The restsurant is clean, well lit and, well organized. Service was prompt & pleasant... Thank ubso much Shenazh...",a month ago,2023-10-30 11:56:37.612819,,,,1,269,336,https://www.google.com/maps/contrib/116404113826010651834/reviews?entry=ttu,True,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNKdnB6TDRnRRAB,Martin Holt,5,Food is great and staff is friendly. Hard to find a fast food restaurant were staff is friendly and polite. Good job Burger King,5 months ago,2023-06-30 11:56:37.615664,,,,0,14,,https://www.google.com/maps/contrib/110295438771048455003/reviews?entry=ttu,False,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChZDSUhNMG9nS0VJQ0FnSUQtNHVDYkJREAE,Darshan Venkatesh,5,The service was quick. Chicken Nuggets were good and not pricey,a year ago,2022-11-30 11:56:37.618149,,,,0,70,188,https://www.google.com/maps/contrib/118352600283540612338/reviews?entry=ttu,True,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNKdFlHNV9RRRAB,Matthew  Matt  Durand,5,"Drive through is quick compared to alot of places nearby, from my experiences there, the food is always fresh and tasty!",4 months ago,2023-07-30 11:56:37.620735,,,,2,18,10,https://www.google.com/maps/contrib/114915593891468810147/reviews?entry=ttu,True,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChdDSUhNMG9nS0VJQ0FnSUM1X3BUYXhRRRAB,Nick,5,"Drive through works fast,  but fries were barely warm.",a month ago,2023-10-30 11:56:37.625020,,,,0,7,299,https://www.google.com/maps/contrib/102961827616814696065/reviews?entry=ttu,True,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChZDSUhNMG9nS0VJQ0FnSUNoOTh5SmJREAE,Yo-yo yo Hello,5,"From my perspective I love this place and they have very fast service of food. A lot of time I went to this restaurant and the staff welcomes me in very friendly way. And, I recommend all my friends to go in this restaurant to experience the same. Kid-friendliness: My little cousin always feels hungry and this restaurant is his favourite because the crew members talk to him as his friends and politely help him to give his first order.",9 months ago,2023-02-28 11:56:37.628033,,,,0,1,,https://www.google.com/maps/contrib/111060242229429518742/reviews?entry=ttu,False,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChdDSUhNMG9nS0VJQ0FnSUN3NDlLZC1BRRAB,Scott Gardner,5,Very special sauce policy. This made me laugh. The number one most important thing that they post in big bold letters in my face is how many sauces I get with each purchase. Obviously someone was abusing the sauces. How many people asked for two or three sauces well only getting a single order to encourage this sign to get made and posted so prominently? I love it!,5 years ago,2018-11-30 11:56:37.630059,,,,2,628,1523,https://www.google.com/maps/contrib/115650111550905290171/reviews?entry=ttu,True,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNoZ09pT2dnRRAB,Lee Javier,5,"So far i like this location. Not too busy, the food is prepared properly and not rushed. Service Crew are friendly and would advise you of any deals or promotion they have.",9 months ago,2023-02-28 11:56:37.632044,,,,0,71,5,https://www.google.com/maps/contrib/110828330859331885387/reviews?entry=ttu,True,,
ChIJI4M8LkfYhVQR16sjy6RH7yo,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNtOGZDdnl3RRAB,Simran Singh,5,"EDIT: I recently visited this place again and I was given very good customer service. That s how it s suppose to be. Girls working at night shift are doing an excellent job. Will definitely come back again. Food was good. The girl I dealt with had zero level of customer service. I asked for mayonnaise and her reaction was so bad that I felt so unwelcoming. If you see a brown dude ordering food that doesn t mean that you have to show us attitude. Plus, I was so nice to her and addressed her as MADAM. Management needs to solve this issue and ask their employees to be nice with the customers.",a year ago,2022-11-30 11:56:37.634480,,,,3,79,84,https://www.google.com/maps/contrib/113054080064964123781/reviews?entry=ttu,True,,
