place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSURLdXUzZGV3EAE,Arjun Tyagi,5,"Tried the new Impossible Whoppers (2 for a family member and I), absolutely excellent experience. Reasonably quick wait time from order to prep and staff were friendly in the drive through. The food was hot, fries were clearly fresh and crispy, drinks were carbonated and cold. The burger itself was amazing! I ve had some terrible fast food experiences in the past and this was a shockingly good one. Keep it up folks! Thank you. I was there today Sat, May 8th @ approximately 1:10 PM.",2 years ago,2021-11-25 08:24:24.957266,,,,0,183,731,https://www.google.com/maps/contrib/101439793156400874516/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNoek9ldm13RRAB,Ann K,5,"After all, hamburgers are Whoppers. Tall Indian. He was kind, so it tasted better. I need to come here sometime. The store was also cleaner than other franchise stores. Food",9 months ago,2023-02-25 08:24:24.961819,,,,1,118,200,https://www.google.com/maps/contrib/110525457051531351717/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSURGdHRmNGFBEAE,Ahmed Karim,5,Service was ok the food was fresh and tasty the workers are nice and i love the ghost pepper nuggets chicken fries and mozzarella cheese stick there were nice highly recommend is just the floor is trashy Parking: I had to squeeze my car in because there were no space to park,2 weeks ago,2023-11-11 08:24:24.966823,,,,1,11,,https://www.google.com/maps/contrib/113307596079328103401/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSURSaExHSlZREAE,Joseph Fung,5,"Nice place,not crowded Food quality is good as always. Food",7 months ago,2023-04-25 08:24:24.968965,,,,1,179,1245,https://www.google.com/maps/contrib/108371831678191992012/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNKa3NMaGd3RRAB,Aeron Aeron,5,"Great drinks, great burgers for lunch and breakfast and lunch Overall a solid place to eat at Food : 4/5",5 months ago,2023-06-25 08:24:24.971266,,,,0,1,1,https://www.google.com/maps/contrib/116517329971001783544/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNGbGJMSjRnRRAB,Andrew Xu,5,Had a drive thru this evening. The lady was very willing to help and give recommendations! Nice experience!,3 weeks ago,2023-11-04 08:24:24.973397,,,,0,7,,https://www.google.com/maps/contrib/105841392569537601342/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSURSNTZESEd3EAE,Jordan Dannish,5,"Wanted a hamburger at 5am, and other restaurants were serving breakfast. Made the trip to Richmond from Vancouver just for burgers! No regrets at all. The service was awesome, and the food was fresh and delicious. At BK, you really can have it your way!",6 months ago,2023-05-25 08:24:24.975638,,,,0,62,5,https://www.google.com/maps/contrib/109467509127420861964/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSUR4cWIycVN3EAE,Stevie Y,5,Employees were really kind and helpful. Very clean and nice place and food was fresh and well made. Two thumbs up,5 months ago,2023-06-25 08:24:24.978108,,,,0,14,,https://www.google.com/maps/contrib/113579746074764998351/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSUN4c01TYkJ3EAE,Mr Feast,5,It was kinda slow but haven t had Burger King in a while and it was great 2 whoppers for $10 was also a great deal,6 months ago,2023-05-25 08:24:24.979917,,,,0,11,1,https://www.google.com/maps/contrib/108063292014100697966/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSUNwcjZIVlRBEAE,Billy Hong,5,Always Great burgers and service! very nice staff! Food,3 months ago,2023-08-25 08:24:24.981518,,,,0,7,4,https://www.google.com/maps/contrib/109292965258300654370/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChdDSUhNMG9nS0VJQ0FnSUN4M0lQUXJRRRAB,rohit sharma,5,"This is the best burger king ever, serve fresh and hot food always, friendly staff. Best in town!",6 months ago,2023-05-25 08:24:25.516995,,,,0,8,,https://www.google.com/maps/contrib/118342519849375938707/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNoa3BXb2pBRRAB,TheRealM,5,"Ok. im there for the food, strictly. The people at this location especially in the evening, are pretty awful. Not friendly, kinda rude and condescending. Buutttt the food is good, so i put up with it",9 months ago,2023-02-25 08:24:25.518618,,,,0,132,341,https://www.google.com/maps/contrib/105827936864166182708/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSUMyeWJtcFlREAE,Vls W,5,"I had an amazing experience at this Drive thru, especially with Aman and Parminder, cuz of their smile, the service attitude of both of them is very very good, efficient fast and accurate service, and food was fresh and hot. They both show passion for their job at Burger King, both show respect for customers, thank you Aman and Parminder for your excellent customer service and your sunshine smiley faces! (Even with the mask on, I can feel you two are smileing behind the mask), both show that they love their job. Keep up the good work! (Other crew members I don t know their name, I also would say a thank you so very much because they also show passion for their job here at BK and they also have fast and accurate service too!) . Everytime I get burgers and drinks here, I feel very welcomed by the friendly staff members here, and food is fresh hot and tasty, this drive thru shows how a real Burger King should be. I recommend food from here. The warm tasty burgers made by the crew members here, are like burgers made from their warm hearts! Keep up the excellent work! Cheers!",a year ago,2022-11-25 08:24:25.520595,,,,0,1,,https://www.google.com/maps/contrib/103743151402830837422/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSURKZ3BYTUdnEAE,Guy Ben,5,Very good food and drinks for all family,4 months ago,2023-07-25 08:24:25.522129,,,,0,57,,https://www.google.com/maps/contrib/117079122361185347668/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChdDSUhNMG9nS0VJQ0FnSURrMDhQcGtRRRAB,F Pop,5,Best Burger King always has their deals $1 ice cream available- other Burger Kings not so much,4 years ago,2019-11-25 08:24:25.524076,,,,0,26,3,https://www.google.com/maps/contrib/105674940779705387658/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChdDSUhNMG9nS0VJQ0FnSUNKaWZYTnBRRRAB,Byung,5,"Great offer, great food, good service and atmosphere!",4 months ago,2023-07-25 08:24:25.525624,,,,0,1,,https://www.google.com/maps/contrib/105533836576374729020/reviews?entry=ttu,False,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSUNKNnBxcFZnEAE,tushar suneja,5,Perfect place for your cravings!! Nice staff and location,5 months ago,2023-06-25 08:24:25.527792,,,,0,50,,https://www.google.com/maps/contrib/109250211185949143473/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChdDSUhNMG9nS0VJQ0FnSURta05uRXN3RRAB,Jsin Nguyen,5,I have been here a few times for breakfast since Ive moved near by. I would have to say the service has been amazing and their food preparation have been top notch. 5 stars definitely recommend this location for breakfast.,a year ago,2022-11-25 08:24:25.529521,,,,0,27,6,https://www.google.com/maps/contrib/103606557964533586183/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSUNxdW9XTENBEAE,Antonio B.,5,"Nashville Hot Chicken is pretty good. If it s too spicy you can ask for extra mayo to reduce the heat on your tastebuds. The bun is soft and tasty and mixes well with the sauces. Quality of chicken is what you d expect from a fast food place. Grab it for  free  with a minimum spend of $1 from their website.  The regular price isn t cheap otherwise, but why not treat yourself once in a while with $8 fast food chicken lol",2 years ago,2021-11-25 08:24:25.530998,,,,0,51,52,https://www.google.com/maps/contrib/102624991945529385558/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSURXdk5xek1BEAE,Kevin John,5,"We all know this place. In my opinion, its under rated. The burgers are decently sized, fair for the price, and tastes amazing for a fast food restaurant. Definitely not the Burger King though.",a year ago,2022-11-25 08:24:25.532354,,,,0,36,191,https://www.google.com/maps/contrib/108395596078285129925/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSUNaZ0xtdkxREAE,Ayman Boshra,5,"The best Burger, I like it  .",2 months ago,2023-09-25 08:24:26.167918,,,,0,306,255,https://www.google.com/maps/contrib/108498932831724003215/reviews?entry=ttu,True,,
ChIJx3Fdvd90hlQRYAwOZ664z9w,Burger King,ChZDSUhNMG9nS0VJQ0FnSURDd00yZGR3EAE,M. sk,5,"That wednesday combo was absolutely mind blowing , Pickles salad and tomates and wish i ordered with mayo epicy .... Absolutely king ... Thank you for suggesting that i can only pick the burger the second time without fries and drink and cost less... God bless",3 years ago,2020-11-25 08:24:26.170451,,,,0,53,7,https://www.google.com/maps/contrib/110982524563055928532/reviews?entry=ttu,True,,
