place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChdDSUhNMG9nS0VJQ0FnSUR4M2NHcW1RRRAB,Alie Duggan,5,"The store attendant was so helpful and patient, she helped me find the perfect treats, at a great price! Thanks :)",5 months ago,2023-06-22 01:12:26.963502,,,,0,14,,https://www.google.com/maps/contrib/117073234028827761169/reviews?entry=ttu,False,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChZDSUhNMG9nS0VJQ0FnSUN4aThQWkZ3EAE,Sarah Blackwood,5,Staff are always kind and incredibly helpful at this location!,5 months ago,2023-06-22 01:12:26.968941,,,,0,9,3,https://www.google.com/maps/contrib/108779712511115674436/reviews?entry=ttu,False,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChZDSUhNMG9nS0VJQ0FnSUNteHVlM1R3EAE,Reece Mack,5,These guys and gals are very helpful. Helped make my little guys very handsome this Christmas.,a year ago,2022-11-22 01:12:26.971659,,,,0,79,39,https://www.google.com/maps/contrib/111497024686818814171/reviews?entry=ttu,True,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChdDSUhNMG9nS0VJQ0FnSURSbnEzRGtBRRAB,SB J.,5,This store is as same as other bosley`s. But the owner is much more kind than others.,6 months ago,2023-05-22 01:12:26.974400,,,,0,33,32,https://www.google.com/maps/contrib/114060690292683510084/reviews?entry=ttu,True,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChZDSUhNMG9nS0VJQ0FnSUMyNEktWlRnEAE,Emily D,5,Plenty of free parking nearby friendly and helpful staffs facilitate my online order as well as faster checkout I will definitely go again,a year ago,2022-11-22 01:12:26.976908,,,,1,5,8,https://www.google.com/maps/contrib/107818427833857928281/reviews?entry=ttu,False,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChZDSUhNMG9nS0VJQ0FnSURSeXZmZEJ3EAE,Derek DeGear,5,Friendly staff and a convenient location on 41st Ave.,6 months ago,2023-05-22 01:12:26.979183,,,,0,174,88,https://www.google.com/maps/contrib/115760298727346783514/reviews?entry=ttu,True,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChZDSUhNMG9nS0VJQ0FnSUNna196QkR3EAE,R. Lui,5,"Nice selection of pet items from supplies and accessories to food. The dog food I was looking for wasnt available; however, the cashier was very customer service oriented and called their west Broadway location for me and reserved it. Good service!",6 years ago,2017-11-22 01:12:26.981529,,,,1,150,29,https://www.google.com/maps/contrib/110893151748252921966/reviews?entry=ttu,True,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChdDSUhNMG9nS0VJQ0FnSUNxLUoyT2lBRRAB,Mate G,5,Love this store ! Really helpful staff. Helped me find the best food for my dog that suffered tummy problems for years. <3,2 years ago,2021-11-22 01:12:26.983934,,,,0,13,,https://www.google.com/maps/contrib/113088821105388815243/reviews?entry=ttu,False,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChdDSUhNMG9nS0VJQ0FnSUNodzczQTZBRRAB,Elizabeth McCarthy,5,Great selection and excellent customer service,9 months ago,2023-02-22 01:12:26.986200,,,,0,81,77,https://www.google.com/maps/contrib/111620054978140285039/reviews?entry=ttu,True,,
ChIJVX-XAEJzhlQRtBJrGuxnSQg,Bosley's,ChdDSUhNMG9nS0VJQ0FnSURlLU0tWjFRRRAB,Alfred Lam,5,Detailed explanation by Sean (the owner/ manager). Great services!,a year ago,2022-11-22 01:12:26.988493,,,,0,29,73,https://www.google.com/maps/contrib/115980807037983459795/reviews?entry=ttu,True,,
