place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURwdnVQbFZnEAE,Melody Noble,5,"Great Toddler/Mommy McDs with large, enclosed play place, climbing structure 2y+, ordering/pay station inside play area, high chairs, NO wifi access, bathroom not in play area, & dirty but not horrid. They had pancakes allday in happy meal & lots of parking. I d recommend, if you need a place to work & eat , while children run in circles screaming. There are many screaming children. Kid-friendliness: Bathrooms, enclosed play area, large climbing structure with slide & padded area. 2yr -12yrs, high chairs, room for strollers, trash, bathrooms Wheelchair accessibility: All on one level, handicapped parking, room in restaurant for wheelchairs",2 months ago,2023-09-19 01:48:45.254214,,,,1,63,205,https://www.google.com/maps/contrib/106904452267071323707/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURwemVfaXFnRRAB,Anastasia,5,"This McDonalds has a great location spot next to Science World and the stadium. Surprisingly, it has free parking with a big parking lot. Its open 24/7 for dine in, take out, and drive through. Kid-friendliness: Has an indoor playground",2 months ago,2023-09-19 01:48:45.256387,,,,1,7,14,https://www.google.com/maps/contrib/117728341977149002567/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUN4NmI2TzRBRRAB,Penny Harten,5,Well the reason Im giving them a 5 star is because there security caught the thief who actually stole the kids meal I had on the table so when I took little man I was looking after to the restroom so guy took his food and his box of doughnuts and actually drank out of my coffee cup but they handled with respect and I appreciated that from them plus the other people around us where super nice,5 months ago,2023-06-19 01:48:45.258245,,,,1,82,,https://www.google.com/maps/contrib/101751528244668471093/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUQ1X04tOWNBEAE,martian romeo,5,It was fairly quick with a full line up frendly staff on the drive through,4 weeks ago,2023-10-22 01:48:45.260236,,,,0,251,1385,https://www.google.com/maps/contrib/113596690437136281180/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURXcXRyYi13RRAB,Ponda Baba,5,"Consistently THE WORST drive thru service. I am asked to pull over and wait a minimum of 7 minutes every time I go. And every time, I have to walk in and demand my food...AND every single time the sauces I PAID FOR are not in the bag. The place is an absolute circus with food delivery guys, homeless, bums, addicted people lurking about everywhere. Its a zoo and the service is atrocious. Im DONE.",a year ago,2022-11-19 01:48:45.262629,,,,4,90,341,https://www.google.com/maps/contrib/114509382442531477336/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURJektldnVnRRAB,arash darvish,5,This Mc Donald center is fully automated. You can customize everything. Large variety in the menu and nice salad that I havent seen in any other branches before.,4 years ago,2019-11-19 01:48:45.264294,,,,0,128,90,https://www.google.com/maps/contrib/112689631912319991957/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURSNTdQd1BREAE,Bodhi Jones,5,"Changed my life. The finest 5 star cuisine Ive ever had, how have I never heard of this place? Its like McMagic in my mouth!",6 months ago,2023-05-19 01:48:45.266113,,,,1,4,,https://www.google.com/maps/contrib/110743955131086444888/reviews?entry=ttu,False,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUN1c1lPUjJnRRAB,The Real Nancy Bee,5,"In the middle of a heat dome and it was unbelievably hot outside ... walking into the restaurants lovely, air conditioned interior was such a relief! It was crazy busy and totally chaotic but all the staff we dealt with were so friendly and pleasant. There was lots of parking outside and no line-ups at the ordering kiosks and the washroom was spotless. Altogether a great visit.",a year ago,2022-11-19 01:48:45.268447,,,,0,46,2,https://www.google.com/maps/contrib/117455277239482355186/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUR4cE9pQUtREAE,Samuel  Rostapher 76  Davis,5,"The place  had a great experience with STAFF and Customers. Very nice,I will go Back.",5 months ago,2023-06-19 01:48:45.270234,,,,1,10,3,https://www.google.com/maps/contrib/116408459671750879553/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUN5dGNTTkVREAE,Paul A Smith,5,I have purchased 4 cars from these guys over the years and their service has been outstanding. I highly recommend them to anyone looking for a used car in excellent condition!!!!,2 years ago,2021-11-19 01:48:45.272556,,,,0,9,29,https://www.google.com/maps/contrib/110982289348530003330/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUMtMUp1WFVREAE,Tonya Junebug,5,"Clean atmosphere. Not enough staff in the evening, for over a month now there has only been one cashier witch causes slower lines not everybody has a bank card to  pay with online. This also cause customers to get frustrated and angry and even sometimes cause a scene with staff members,  unfortunately One customer was extremely  frustrated he told a staff member to f@#(c) off and the staff member behind the counter said exactly the same words right back to the customer before he walked out.. I have Never experienced this at a McDonalds. Not the staff members fault but if there was more cashiers at the front maybe that could have been avoided.",a year ago,2022-11-19 01:48:45.781276,,,,0,29,14,https://www.google.com/maps/contrib/112311883546318798864/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURaLVlQYm1BRRAB,Chris Austin,5,"Quick burger snack for lunch, always fast and tasty",a month ago,2023-10-19 01:48:45.783251,,,,0,39,13,https://www.google.com/maps/contrib/111080991331090739421/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUNaaUxDYlBnEAE,Kenia Glez,5,"Big place. Clean, I enjoy dine in",2 months ago,2023-09-19 01:48:45.785213,,,,0,15,18,https://www.google.com/maps/contrib/100166047203852856295/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURXcTdyRld3EAE,Elizabeth Horcajo,5,"Been coming here every Saturday morning for breakfast, and every time I have quality service and food. There are mornings when the line up to the drive-thru is out to the street and we are only in line for 5 mins total and have our food. Other locations have us park and wait 10+ minutes even with no line. All employees work fast but politely. The food is always so fresh and hot. Could not recommend this location enough!",a year ago,2022-11-19 01:48:45.787577,,,,0,59,44,https://www.google.com/maps/contrib/110611150913262873697/reviews?entry=ttu,True,,
