place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUNaN1pIRzFRRRAB,Prabhjot,5,I was so pleased with the service I received from this business. Specially thanks to Karman as she is so friendly and always keep smile on her face. She is extremely knowledgeable and give great recommendations. I would love to come back here again and again.,2 months ago,2023-10-01 01:50:27.089478,,,,0,2,,https://www.google.com/maps/contrib/101730208296286451037/reviews?entry=ttu,False,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUNKcC1hdGRREAE,Arran Gauld,5,"I was having a bad day and went for a meal. The nicest, most genuine employee started talking to me and really just changed my perspective of my day, Brooklynn should be given a raise or a firm pat on the back as she seems to be the biggest asset the location has to offer.",4 months ago,2023-08-01 01:50:27.091524,,,,0,6,1,https://www.google.com/maps/contrib/102630902794072041198/reviews?entry=ttu,False,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURaaThtc1pBEAE,Teresa Gougeon,5,"Such friendly, organized staff. They make me feel so taken care of each and every time we visit",a month ago,2023-11-01 01:50:27.093559,,,,0,4,,https://www.google.com/maps/contrib/102341189684743727952/reviews?entry=ttu,False,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUNtemU3YzB3RRAB,Sean Penner,5,Excellent little McDonald s run by super nice and quick working staff! My order was fast and completely correct!,a year ago,2022-12-01 01:50:27.095617,,,,1,353,649,https://www.google.com/maps/contrib/108622025474310465587/reviews?entry=ttu,True,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUNaeW82VjB3RRAB,fukitification,5,"Thank you so much when BMO royaly, w/cheese add bacon, dropped the ball at 11:45!!! I am coming back in the morning with cash!!!! Keep the world off credit!!!!",2 months ago,2023-10-01 01:50:27.097312,,,,1,1,,https://www.google.com/maps/contrib/116069561729859235963/reviews?entry=ttu,False,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUQtNGJ1Zm1RRRAB,Gordon Underwood,5,"This location seems very well looked after, very clean and very accurate with your order, from 7-9 it seems very low traffic and you get your order very quickly after about 10 am traffic gets a bit heavier and our order takes 10ish minutes. Staff seem consistent and polite. Overall pleasant experience bringing my children there several days in a row for breakfast. Parking: You can see your vehicle while you eat Wheelchair accessibility: The door has buttons and the stroller i use is much wider than a weelchair, plus plenty of accessibility parking.",11 months ago,2023-01-01 01:50:27.099280,,,,0,54,56,https://www.google.com/maps/contrib/116463051096638588678/reviews?entry=ttu,True,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURSeTRiS053EAE,Zuo Xiaofei,5,"The manager here name aman is  so nice cause he was so busy at that time and know my son just want to eat ice cream corn instead of mcslurry, he made it for my son right away! Really appreciate",6 months ago,2023-06-01 01:50:27.101325,,,,0,4,14,https://www.google.com/maps/contrib/104637978719205450026/reviews?entry=ttu,False,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURBdHZUZk53EAE,Kingsley Ho,5,Less people and their food is consistent and i like the jazz music there too,5 years ago,2018-12-01 01:50:27.102976,,,,0,84,557,https://www.google.com/maps/contrib/112682994279945125710/reviews?entry=ttu,True,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUNlanI3ZDJBRRAB,Tram Pham,5,Love the coffees and foods here. The best McDonalds location. Slow service after working hours and weekends.,5 months ago,2023-07-01 01:50:27.104539,,,,0,34,5,https://www.google.com/maps/contrib/112838259418813339344/reviews?entry=ttu,True,,
ChIJD6HMTRd1hlQRTn8naP2KEhY,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURGMnN5d3hnRRAB,Jas Dhaliwal,5,We went through drive-thru,3 weeks ago,2023-11-10 01:50:27.106501,,,,0,485,285,https://www.google.com/maps/contrib/108782263322367262636/reviews?entry=ttu,True,,
