place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURwdnVQbFZnEAE,Melody Noble,5,"Great Toddler/Mommy McDs with large, enclosed play place, climbing structure 2y+, ordering/pay station inside play area, high chairs, NO wifi access, bathroom not in play area, & dirty but not horrid. They had pancakes allday in happy meal & lots of parking. I d recommend, if you need a place to work & eat , while children run in circles screaming. There are many screaming children. Kid-friendliness: Bathrooms, enclosed play area, large climbing structure with slide & padded area. 2yr -12yrs, high chairs, room for strollers, trash, bathrooms Wheelchair accessibility: All on one level, handicapped parking, room in restaurant for wheelchairs",3 months ago,2023-09-01 01:46:15.496208,,,,1,64,208,https://www.google.com/maps/contrib/106904452267071323707/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURwemVfaXFnRRAB,Anastasia,5,"This McDonalds has a great location spot next to Science World and the stadium. Surprisingly, it has free parking with a big parking lot. Its open 24/7 for dine in, take out, and drive through. Kid-friendliness: Has an indoor playground",3 months ago,2023-09-01 01:46:15.503695,,,,1,8,16,https://www.google.com/maps/contrib/117728341977149002567/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUN4NmI2TzRBRRAB,Penny Harten,5,Well the reason Im giving them a 5 star is because there security caught the thief who actually stole the kids meal I had on the table so when I took little man I was looking after to the restroom so guy took his food and his box of doughnuts and actually drank out of my coffee cup but they handled with respect and I appreciated that from them plus the other people around us where super nice,6 months ago,2023-06-01 01:46:15.506728,,,,1,82,,https://www.google.com/maps/contrib/101751528244668471093/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUQ1X04tOWNBEAE,martian romeo,5,It was fairly quick with a full line up frendly staff on the drive through,a month ago,2023-11-01 01:46:15.509774,,,,0,251,1385,https://www.google.com/maps/contrib/113596690437136281180/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURXcXRyYi13RRAB,Ponda Baba,5,"Consistently THE WORST drive thru service. I am asked to pull over and wait a minimum of 7 minutes every time I go. And every time, I have to walk in and demand my food...AND every single time the sauces I PAID FOR are not in the bag. The place is an absolute circus with food delivery guys, homeless, bums, addicted people lurking about everywhere. Its a zoo and the service is atrocious. Im DONE.",a year ago,2022-12-01 01:46:15.513016,,,,4,93,357,https://www.google.com/maps/contrib/114509382442531477336/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSURJektldnVnRRAB,arash darvish,5,This Mc Donald center is fully automated. You can customize everything. Large variety in the menu and nice salad that I havent seen in any other branches before.,4 years ago,2019-12-01 01:46:15.515294,,,,0,128,90,https://www.google.com/maps/contrib/112689631912319991957/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUN5dGNTTkVREAE,Paul A Smith,5,I have purchased 4 cars from these guys over the years and their service has been outstanding. I highly recommend them to anyone looking for a used car in excellent condition!!!!,2 years ago,2021-12-01 01:46:15.517685,,,,0,9,29,https://www.google.com/maps/contrib/110982289348530003330/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSURSNTdQd1BREAE,Bodhi Jones,5,"Changed my life. The finest 5 star cuisine Ive ever had, how have I never heard of this place? Its like McMagic in my mouth!",6 months ago,2023-06-01 01:46:15.519940,,,,1,4,,https://www.google.com/maps/contrib/110743955131086444888/reviews?entry=ttu,False,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChdDSUhNMG9nS0VJQ0FnSUN1c1lPUjJnRRAB,The Real Nancy Bee,5,"In the middle of a heat dome and it was unbelievably hot outside ... walking into the restaurants lovely, air conditioned interior was such a relief! It was crazy busy and totally chaotic but all the staff we dealt with were so friendly and pleasant. There was lots of parking outside and no line-ups at the ordering kiosks and the washroom was spotless. Altogether a great visit.",a year ago,2022-12-01 01:46:15.522863,,,,0,46,2,https://www.google.com/maps/contrib/117455277239482355186/reviews?entry=ttu,True,,
ChIJO1V_sWZxhlQR69RUQ1rHcb0,McDonald's,ChZDSUhNMG9nS0VJQ0FnSUMtMUp1WFVREAE,Tonya Junebug,5,"Clean atmosphere. Not enough staff in the evening, for over a month now there has only been one cashier witch causes slower lines not everybody has a bank card to  pay with online. This also cause customers to get frustrated and angry and even sometimes cause a scene with staff members,  unfortunately One customer was extremely  frustrated he told a staff member to f@#(c) off and the staff member behind the counter said exactly the same words right back to the customer before he walked out.. I have Never experienced this at a McDonalds. Not the staff members fault but if there was more cashiers at the front maybe that could have been avoided.",a year ago,2022-12-01 01:46:15.524926,,,,0,29,14,https://www.google.com/maps/contrib/112311883546318798864/reviews?entry=ttu,True,,
