place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSUNsb2FpbDdBRRAB,Phu Phillip Trinh,5,"Not sure what the fuss is about, I ve been here over 3 times and I always see the same chef there cooking and I know he s all about the art of the burger. Every time I dined here I ve thought,  Man it s the best burger I ve ever had.  But it continues every visit! Def an underrated spot",a week ago,2023-11-23 12:27:40.990998,,,,0,69,27,https://www.google.com/maps/contrib/113880036232108609887/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSUN4d2NQOGRnEAE,Dyanne Gray,5,Really tasty smash burgers and super duper nice service!!,6 months ago,2023-05-30 12:27:40.999255,,,,0,82,443,https://www.google.com/maps/contrib/111115827035481644961/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSUNsbG96U2VnEAE,Yoshino Morisue,5,Amazing service . The cook came out of the restaurant and handed me my order as I was still parked in the car . Above and beyond .Highly recommend.,a week ago,2023-11-23 12:27:41.003036,,,,0,18,,https://www.google.com/maps/contrib/107787424858146870631/reviews?entry=ttu,False,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSURPaUxfR093EAE,Ben Moreno,5,"Excellent service, best hamburgers done to perfection and exactly as ordered,  friendly attendant and cooker, they bring the food to the table, great location,  well kept restaurant, good crowd, well recommended.",a year ago,2022-11-30 12:27:41.007203,,,,0,402,534,https://www.google.com/maps/contrib/110204895346873355770/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSURKbF9lanBBRRAB,Sanju Sukul,5,The burger was great. Even better the gentleman running the place was friendly and professional. Have not been there in many years but will definitely go back again soon.,4 months ago,2023-07-30 12:27:41.010249,,,,0,34,14,https://www.google.com/maps/contrib/105851747103792458707/reviews?entry=ttu,False,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSUNJai1lcFJnEAE,Nick Man,5,Friendly place and good burgers. The people working there were nice and the seats inside were comfy. What appeals to me the most is their wide selection of burgers. I tried the stinger which has jalapenos in it and gives it a spicy zing to it. Ill come again to try the other special burgers they have.,4 years ago,2019-11-30 12:27:41.013739,,,,0,147,1049,https://www.google.com/maps/contrib/108619028489952643000/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSUR5d3EzOGt3RRAB,Liliana Lau,5,"My hamburger was very nice and  juice,  so happy that I didnt wait in line also was very quiet,  cashier and cook polite and friendly they worked so nice as a team keep it up guys",2 years ago,2021-11-30 12:27:41.016360,,,,1,386,1738,https://www.google.com/maps/contrib/105640809654379639754/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSURVdjd1TUZ3EAE,Carl Koytzan,5,"My Buddy and I went to Veras last Friday night  and ordered 2 Vera combos,  one double and one single. Best burger Ive had in a very long time. The meat was well seasoned and juicy.  Overall, my buddy gave the double cheese burger 10/10. I also give the burger 10/10. The combo comes with fries and eating in a bottomless soda. Large selection of sodas to choose from.  The fries were nothing special,  but the Burger was fantastic.  Will return when the opportunity presents. Cheers!",4 years ago,2019-11-30 12:27:41.018784,,,,0,140,6,https://www.google.com/maps/contrib/113052682269085874236/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSURKNmVMQ0NnEAE,L.R.,5,"The food is actually really good, we order a burguers and poutine and the poutine was a really good portion. The attention of the crew was amazing. Food",4 months ago,2023-07-30 12:27:41.021134,,,,0,16,21,https://www.google.com/maps/contrib/111554374662227113034/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSUNobzhfb29nRRAB,Imane Tounsi,5,THE BEST burger in town...hands down! Its our go-to whenever we are craving a good burger. We usually get the original Vera burger and we were never disappointed. Staff at the Main st location are kind and professional and service is quick! Highly recommend this place!,9 months ago,2023-02-28 12:27:41.024389,,,,1,42,108,https://www.google.com/maps/contrib/114590748794052703617/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSURraDk3MUxnEAE,Kiky Kiks,5,"Great burgers!!! Staff is friendly, service is fast, food is fresh, price is good. (Im not crazy about their fries - slightly overpriced).",4 years ago,2019-11-30 12:27:41.603904,,,,2,157,227,https://www.google.com/maps/contrib/101080367326676922007/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSUNKcUsyc0tBEAE,Sarah Nia,5,Taste of burger is amazing and place is not very good but the taste of food is prepared you for good experience.,5 months ago,2023-06-30 12:27:41.607854,,,,0,55,48,https://www.google.com/maps/contrib/114743237889767463311/reviews?entry=ttu,False,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSUMyODhQdTR3RRAB,Patti Cakkies,5,"Ordered for takeout the bacon, mushroom cheese burger with sweet potato fries - delish! Loved how it was still hot when we arrived at our destination.  Also, saw how cool and professional the staff was dealing with a difficult customer. We appreciate your service! Recommend this place.",a year ago,2022-11-30 12:27:41.612127,,,,0,32,1,https://www.google.com/maps/contrib/106195803384953090688/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSUMwa1pxcnl3RRAB,vanbuddha1,5,These burgers are amazing I really also enjoy the service here as you don t get that at most places these days Thanks,4 years ago,2019-11-30 12:27:41.615304,,,,0,9,4,https://www.google.com/maps/contrib/112539916681297970024/reviews?entry=ttu,False,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSUNvdDRfV1lnEAE,Ali,5,I got Classic burger and onion rings from here and it was awsome ! The burger was super tasty and fresh. Highly recommend.,4 years ago,2019-11-30 12:27:41.618293,,,,0,24,40,https://www.google.com/maps/contrib/109750115142987350339/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChZDSUhNMG9nS0VJQ0FnSUN4eEx1cVh3EAE,Christian Molina,5,"By far, the best burgers on Main St. Service is awesome and they always make you feel welcome.",6 months ago,2023-05-30 12:27:41.621050,,,,0,27,55,https://www.google.com/maps/contrib/106184043679948153642/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSUN4eE12XzBnRRAB,Andre G,5,Best burger and fries in Vancouver hands down! Plus staff are great! Will always come back!,6 months ago,2023-05-30 12:27:41.624713,,,,0,35,,https://www.google.com/maps/contrib/101079806993417937027/reviews?entry=ttu,False,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSUMyeV9QdzJnRRAB,Matthew Reid,5,"Super friendly staff, and even better tasting food! Always made fresh to order and will definitely be back to this place. Highly recommended! Especially the Stinger Burger, if you have a taste for some spicy heat ;))",a year ago,2022-11-30 12:27:41.627509,,,,0,188,449,https://www.google.com/maps/contrib/104287719129111235984/reviews?entry=ttu,True,,
ChIJyc1Io-NzhlQRjieN-_h6zTI,Vera's Burger Shack,ChdDSUhNMG9nS0VJQ0FnSUNPNW9XdnFnRRAB,Ernesto Barreto,5,"I just loved it! Really tasty burger, really great service, am I missing something? Oh yes, a fair price! Very polite service, you guys check all the boxes. Next time Ill take pictures.",a year ago,2022-11-30 12:27:41.629868,,,,0,140,3294,https://www.google.com/maps/contrib/113939068627206798803/reviews?entry=ttu,True,,
