place_id,place_name,review_id,reviewer_name,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,reviewer_url,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChdDSUhNMG9nS0VJQ0FnSUQ1Z3JmUm5RRRAB,J C,5,"Wendy s Junior Double Cheeseburger is the best burger for your buck with crispy bacon, juicy double thicc meat Pattie. Melted cheddar cheese slice. Extra toppings. I got 10 piece nuggets, they are pretty tasty, but not the best time I had. The outside wasn t crispy. Still delicious. Finish it all up with a frosty. Not vanilla. Chocolate.",a month ago,2023-10-30 17:22:07.129262,,,,1,30,171,https://www.google.com/maps/contrib/110521623706482903885/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChZDSUhNMG9nS0VJQ0FnSUNsaW96ck9nEAE,James Inouye,5,Place is always clean and tidy. People are friendly and the food is consistently good. Also I love the beverage machines inside.,2 weeks ago,2023-11-16 17:22:07.135517,,,,0,77,77,https://www.google.com/maps/contrib/105568517860693081122/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChZDSUhNMG9nS0VJQ0FnSUNsd3JMZlp3EAE,Rin Lamsen,5,"Met this cute girl there, we hit it off. I feel it being a bit understaffed at times but the food was good and it was pretty clean as well. Will dine again",2 weeks ago,2023-11-16 17:22:07.138887,,,,0,1,1,https://www.google.com/maps/contrib/107369116422870328790/reviews?entry=ttu,False,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChZDSUhNMG9nS0VJQ0FnSURXeW9DQVlnEAE,Victor Law,5,"This Wendys has been here since my highschool days. Its actual age is probably even older. At some point, this Wendys has been updated. It is very nice inside. I ordered a large fries and was given one pretty quickly. The fries were very fresh as I almost burnt myself wolving them down. They were so good. Wendys has great fries and this is no exception. Always happy when a store is able to provide fresh made food, whether due to traffic or good management.",a year ago,2022-11-30 17:22:07.141899,,,,0,605,44398,https://www.google.com/maps/contrib/104609121824445017950/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChZDSUhNMG9nS0VJQ0FnSURabEp5MEx3EAE,Jeffery Wright,5,11/10 would recommend if you re looking to drop your car off and pick it up looking like it s factory new again. They made my 2015 look like it just left the lot and 7 years younger. These guys do amazing work,2 months ago,2023-09-30 17:22:07.144129,,,,0,2,,https://www.google.com/maps/contrib/109972453468780146456/reviews?entry=ttu,False,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChdDSUhNMG9nS0VJQ0FnSUNsX0tuN29RRRAB,Christiane Boyce,5,"The deluxe burgers are just so good. Soft bun, good amount of sauce, fresh lettuce and tomato. This location is on a busy thoroughfare and is a quick, quality stop with good value.",2 weeks ago,2023-11-16 17:22:07.146231,,,,0,183,369,https://www.google.com/maps/contrib/104706069257379613528/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChdDSUhNMG9nS0VJQ0FnSUNsd2F2eGpBRRAB,Francis ValE5,5,I think management has changed       I love Wendys. I highly recommend anyone craving Costco poutines to get poutine from Wendys.  Taste 10 times better. Wendys might want to work on their sizing though because large poutine is not even 3/10 of Costco poutine. Food,a week ago,2023-11-23 17:22:07.149273,,,,0,31,2,https://www.google.com/maps/contrib/105255613714389599497/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChZDSUhNMG9nS0VJQ0FnSUNsdXI2S1BnEAE,Isabel Atherton,5,I think this location has finally improved. My food was given quickly and they didnt miss any items.,2 weeks ago,2023-11-16 17:22:07.152120,,,,0,18,18,https://www.google.com/maps/contrib/110958392679878082463/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChdDSUhNMG9nS0VJQ0FnSUNScUxtd2t3RRAB,Gary C.,5,Clean establishment. Courteous staff. Putting in an order using the mobile app was quick and easy. Had the triple combo. The burger was fresh and delicious.,8 months ago,2023-03-30 17:22:07.154881,,,,0,22,7,https://www.google.com/maps/contrib/113636416379087433018/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChZDSUhNMG9nS0VJQ0FnSUNaODdUMExnEAE,Andrew Burke,5,"Again, another wendys that makes Mcds Burger king and more look like a joke. Wendys, keep the good service, well made food at a good price coming. Food : 5/5",2 months ago,2023-09-30 17:22:07.156793,,,,0,14,,https://www.google.com/maps/contrib/109145334426760734408/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChZDSUhNMG9nS0VJQ0FnSURoZ1pxRGNnEAE,Chase lakes,5,Police always in the parking lot blocking half the lot ruining peoples day on their way home depressing and inconvenient Great service friendly staff hot food just the RCMP ruining the atmosphere! Food,8 months ago,2023-03-30 17:22:07.780455,,,,1,42,51,https://www.google.com/maps/contrib/115585556551743128189/reviews?entry=ttu,False,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChdDSUhNMG9nS0VJQ0FnSUNwc3UtUHJRRRAB,Juan Pablo Gomez,5,Amazing Wendys. It could use a little more accessible entrances for pedestrians.,3 months ago,2023-08-30 17:22:07.784874,,,,0,7,9,https://www.google.com/maps/contrib/101930377015302632745/reviews?entry=ttu,False,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChdDSUhNMG9nS0VJQ0FnSUNPZ2EyRG93RRAB,Queenie,5,Great experience. The guy who helped us at 10:15 this morning was awesome! Brought our chicken nuggets to the car and asked if we needed anything else. Excellent service for a drive thru Wendys. Thank you!,a year ago,2022-11-30 17:22:07.788963,,,,0,113,170,https://www.google.com/maps/contrib/106331013981155304048/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChdDSUhNMG9nS0VJQ0FnSUQ2aHJHXzNnRRAB,Sean Solomon,5,"Great spot, right off Grandview and Boundary Rd. Perfect location to grab a quick bite with both a drive thru and indoor dining option. The restaurant is very clean and they follow the Covid-19 protocols very well. They were really good with following instructions given for my order. Would definitely return to this spot!",2 years ago,2021-11-30 17:22:07.791989,,,,1,140,494,https://www.google.com/maps/contrib/110371555914972104207/reviews?entry=ttu,True,,
ChIJOZ8mpdB2hlQRIOWyMHy0zvQ,Wendy's,ChdDSUhNMG9nS0VJQ0FnSUNwbmZTS3d3RRAB,Ila Flamand,5,"I only ever use the drive-thru so I dont know about the inside of the restaurant, but the food is always on point and the service is exceptional.",3 months ago,2023-08-30 17:22:07.794694,,,,0,18,,https://www.google.com/maps/contrib/111245418153674946767/reviews?entry=ttu,True,,
